group,wh_word,item,q_type,sound_file,a_type,context,dice,interlocutor,tu_dices,target,pregunta,option1,option2,option3,answer
B,qué,12,ISQ,m_que_12_ISQ,unique referent,"Linda y Miguel tomaron prestado el coche de Melania y se averió. No quieren decirle nada a Melania así que deciden llevar el coche con tu amigo Carlos, que es mecánico, para que lo arregle. Carlos te comenta que las reparaciones tardarán mucho tiempo, pero que Linda y Miguel le dieron una excusa a Melania para que no les pidiera el coche pronto. Tú le preguntas a tu amigo Rodrigo qué le podrían haber dicho a Melania para mantenerla calmada.",Rodrigo dice:,"""El coche tardará en ser reparado, pero Linda y Miguel le dijeron algo a Melania para no preocuparla.""",Tú dices:,"""Pero eso toma mucho tiempo. Espero que se les haya ocurrido una buena historia. ¿Qué le dirían a Melania?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le dirían a Melania.,Crees que no le dirían nada a Melania.,Ya sabes qué le dirían a Melania.,option1
C,qué,12,RQ-,f_que_12_RQ-,domain complement,"Melania es una doctora que tenía turno en la sala de emergencias hoy. En su turno anterior, estuvo en la sala de operación por mucho tiempo y, aunque se pasó de las horas de su turno, pudo salvar la vida de un paciente. Justo después, se durmió y no pudo levantarse a tiempo para el turno siguiente. Llegó tarde a la sala de emergencia pero nadie le dijo nada porque su operación salió exitosa. Un enfermero muestra preocupación por lo que le dirían a Melania por llegar tarde, pero tú le sugieres que no le dirán nada.",La enfermera dice:,"""Melania llegó tarde para su turno. Espero que el jefe no se enoje.""",Tú dices:,"""¿Después de esa operación tan exitosa? ¿Qué le dirían a Melania?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le dirían a Melania.,Crees que no le dirían nada a Melania.,Ya sabes qué le dirían a Melania.,option2
A,qué,12,RQ+,f_que_12_RQplus,unique referent,Melania es enfermera en un hospital y siempre llega tarde al trabajo. Esto causa muchos problemas porque los pacientes tienen que esperar muchísimo tiempo. Sus jefes quieren tener una reunión con ella. Nadie sabe la razón oficial pero todo el mundo sospecha que quieren hablar de su tardanza.,Tu colega dice:,"""Melania tiene reunión con los jefes. Me pregunto de qué van a hablar.""",Tú dices:,"""No hubo ni un solo día el mes pasado en que llegó a tiempo al trabajo ¿Qué le dirían a Melania?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le dirían a Melania.,Crees que no le dirían nada a Melania.,Ya sabes qué le dirían a Melania.,option3
A,qué,13,ISQ,f_que_13_ISQ,mention-some,Tu hija Ramona tiene 5 años y fue testigo de un crimen. La policía quiere hacerle unas preguntas. Quieres ayudar a la policía pero Ramona es tan joven así que quieres saber qué le van a preguntar.,Una policía dice:,"""Nos gustaría tener a Ramona en la sala durante el proceso judicial.""",Tú dices:,"""Esto me preocupa un poco. ¿Qué le preguntarían a Ramona?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le preguntarían a Ramona.,Crees que no le preguntarían nada a Ramona.,Ya sabes qué le preguntarían a Ramona.,option1
B,qué,13,RQ-,m_que_13_RQ-,domain complement,"Tu hija Ramona acaba de cumplir dos años y todavía no habla. Acaba de ver a un ladrón entrar en la casa mientras tú estabas en la cocina. Cuando vas por la niña, ves que la puerta principal está abierta y ves al ladrón alejarse en su motocicleta. Ahora la policía está investigando el robo y tu vecino Juan te pregunta si la policía le va a hacer preguntas a Ramona. Tú le recuerdas que Ramona es muy pequeña así que probablemente no le preguntarían nada.",Juan dice:,"""¿Le van a hacer preguntas a Ramona sobre lo ocurrido?""",Tú dices:,"""Lo único que sabe decir es ""mamá"". ¿Qué le preguntarían a Ramona?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le preguntarían a Ramona.,Crees que no le preguntarían nada a Ramona.,Ya sabes qué le preguntarían a Ramona.,option2
C,qué,13,RQ+,m_que_13_RQplus,unique referent,"Ramona tiene que tomar un examen de Historia contigo y con Juan. El examen es oral y sólo hay tres posibles temas: la Revolución francesa, la Primera guerra mundial y la Segunda guerra mundial. A ti te tocó la Revolución francesa. A Juan le tocó la Primera guerra mundial. Ahora es el turno de Ramona y Juan se pregunta qué tema le tocará. Tú le sugieres que la respuesta es obvia.",Juan dice:,"""Ahora es el turno de Ramona. A ver qué le preguntan…""",Tú dices:,"""Ya salieron la Revolución francesa y la Primera guerra mundial…..¿Qué le preguntarían a Ramona?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le preguntarían a Ramona.,Crees que no le preguntarían nada a Ramona.,Ya sabes qué le preguntarían a Ramona.,option3
C,qué,14,ISQ,m_que_14_ISQ,unique referent,Carlos te dice que Irene recibió una oferta de trabajo. Tu quieres saber qué le ofrecerían.,Carlos dice:,"""A Irene le ofrecieron un trabajo.""",Tú dices:,"""¡Qué buena noticia! ¿Qué le ofrecerían a Irene?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le ofrecerían a Irene.,Crees que no le ofrecerían nada a Irene.,Ya sabes qué le ofrecerían a Irene.,option1
A,qué,14,RQ-,m_que_14_RQ-,domain complement,"Irene tiene planes de hacer voluntariado por un año. Encontró una organización sin fines de lucro que tiene muchas oportunidades para voluntariado. Rodrigo acaba de enterarse por que Irene encontró algo pero él no sabe que es voluntariado y quiere saber cuánto le ofrecerán de sueldo. Tú le sugieres que, como se trata de un voluntariado, no le ofrecerán nada.",Rodrigo dice:,"""Acabo de enterarme del nuevo trabajo de Irene. ¿Cuánto le ofrecieron de sueldo?""",Tú dices:,"""Pero si es voluntariado. ¿Qué le ofrecerían a Irene?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le ofrecerían a Irene.,Crees que no le ofrecerían nada a Irene.,Ya sabes qué le ofrecerían a Irene.,option2
B,qué,14,RQ+,f_que_14_RQplus,unique referent,Irene es la mejor mánager en la compañía en que trabajas. El director ejecutivo (CEO) acaba de dejar la compañía y ahora toca promover a alguien. Todo el mundo piensa que Irene debería ser la nueva CEO. Los accionistas tienen una reunión con Irene hoy y es muy probable que quieran promoverla. Mientras tanto te cruzas con Cristina en el pasillo y hablan del asunto. Cristina se pregunta qué promoción le ofrecerían a Irene y tú le sugieres que es obvio qué le ofrecerían.,Cristina dice:,"""Me pregunto qué tipo de promoción le van a dar.""",Tú dices:,"""No podemos seguir sin CEO y ella es la mejor candidata. ¿Qué le ofrecerían a Irene?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber qué le ofrecerían a Irene.,Crees que no le ofrecerían nada a Irene.,Ya sabes qué le ofrecerían a Irene.,option3
B,por_que,15,ISQ,m_por_que_15_ISQ,mention-some,"Eres parte de un grupo amateur de teatro y estás por hacer un ejercicio de improvisación. Juan, el instructor, explica la escena: hay una chica que se llama Emilia y es parte de una manifestación que está ocurriendo justo en frente del parlamento. Hay gente que la apoya y gente que no. Tú quieres más detalles.",Juan dice:,"""Hay personas que apoyan a Emilia y personas que no.""",Tú dices:,"""Quiero saber más de lo que hace Emilia y sobre todo de sus simpatizantes. ¿Por qué apoyarían a Emilia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué apoyarían a Emilia.,Crees que no hay por qué apoyar a Emilia.,Ya sabes por qué apoyarían a Emilia.,option1
C,por_que,15,RQ-,m_por_que_15_RQ-,domain complement,"Emilia y Pablo son los dos candidatos para las elecciones municipales de tu ciudad. La plataforma de Emilia incluye muchas iniciativas para ayudar al medioambiente, como por ejemplo más impuestos para las fábricas de coches. Como consecuencia, las fábricas de coches apoyan a Pablo. Cuando tú y tu amigo Carlos dan un paseo por la ciudad y pasan por las fábricas, ven carteles enormes con la cara del candidato Pablo. Juan se extraña que no apoyen a Emilia en esa zona; tú le sugieres que no habría razón por la que la apoyarían ahí.",Carlos dice:,"""¿Por qué todas estas fábricas apoyan a Pablo y no a Emilia?""",Tú dices:,"""Piensa en sus intereses. ¿Por qué apoyarían a Emilia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué apoyarían a Emilia.,Crees que no hay por qué apoyar a Emilia.,Ya sabes por qué apoyarían a Emilia.,option2
A,por_que,15,RQ+,f_por_que_15_RQplus,unique referent,"Emilia es una candidata a las elecciones de tu ciudad. Es bien sabido que ella prometió muchas cosas que le convienen a todos los negocios de la ciudad. Cuando tú y tu amiga Laura caminan por la ciudad, ven que las ventanas de todos los negocios están llenos de pósters de Emilia. Laura se sorprende de que esté en todos lados y tú le sugieres que es obvio que reciba ese apoyo.",Laura dice:,"""Wow. Emilia está en todos lados. Me pregunto por qué.""",Tú dices:,"""Piensa en sus promesas de campaña. ¿Por qué apoyarían a Emilia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué apoyarían a Emilia.,Crees que no hay por qué apoyar a Emilia,Ya sabes por qué apoyarían a Emilia.,option3
A,por_que,16,ISQ,f_por_que_16_ISQ,mention-some,"Amelia es tu amiga. Emilia te cuenta que ella recibió una llamada de la policía pidiendo que se presente al módulo de policía más cercano. Recuerdas que a Amelia le robaron su bicicleta, la credencial de identificación de su hija se le perdió y también recibió una multa de vialidad en los últimos días. Cualquiera de éstas podría ser la razón por la que la llamaron.",Emilia dice:,"""Amelia recibió una llamada de la policía. Irá al módulo mañana.""",Tú dices:,"""Oh no, ¿qué le dijeron? ¿Por qué le hablarían a Amelia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué  le hablarían a Amelia.,Crees que no tienen por qué hablarle a Amelia.,Ya sabes por qué le hablarían a Amelia.,option1
B,por_que,16,RQ-,f_por_que_16_RQ-,domain complement,"Tus hijos se comportan mal en la escuela y has tenido que acudir ya a varias juntas con sus maestras. Juliana, otro padre de familia, te dice que ahora las maestras quieren reunirse con tu hermana Amelia también y piensan hablarle. Tu no entiendes por qué ellos querían hablarle a Amelia, al final, tú eres el padre de los niños, no Amelia.",Juliana dice:,"""Las maestras quieren hablarle a Amelia para hablar sobre tus hijos.""",Tú dices:,"""Esto no tiene sentido. Al final, yo soy el padre, ¿no? ¿Por qué le hablarían a Amelia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué le hablarían a Amelia.,Crees que no tienen por qué hablarle a Amelia.,Ya sabes por qué le hablarían a Amelia.,option2
C,por_que,16,RQ+,m_por_que_16_RQplus,unique referent,"Amelia, tu compañera de clase, siempre se mete en problemas. Los maestros la mandan a la oficina del director constantemente porque usa lenguaje agresivo y ofensivo con todo el mundo. Mientras caminas por los pasillos de la escuela con Mario, ven que Amelia está sentada en la oficina del director. Él se pregunta por qué le habrán llamado a Amelia esta vez; tú le sugieres que la respuesta es obvia.",Mario dice:,"""Le hablaron a Amelia para que fuera con el director. Me pregunto por qué.""",Tú dices:,"""¿¿En serio?? Hablas como si no la conocieras bien. ¿Por qué le hablarían a Amelia?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué  le hablarían a Amelia.,Crees que no tienen por qué hablarle a Amelia.,Ya sabes por qué le hablarían a Amelia.,option3
C,por_que,17,ISQ,f_por_que_17_ISQ,unique referent,"Acabas de enterarte que mucha gente está juntando dinero para ayudar a tu amiga Ivana. No sabes por qué. Cuando Irene te habla de la colecta de fondos, tú le preguntas cuál es el problema.",Irene dice:,"""Hay casi 2000 personas que pueden ayudar a Ivana.""",Tú dices:,"""Acabo de enterarme pero todavía no sé cuál es el problema. ¿Por qué ayudarían a Ivana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué ayudarían a Ivana.,No crees que ayudarían a Ivana.,Ya sabes por qué ayudarían a Ivana.,option1
A,por_que,17,RQ-,m_por_que_17_RQ-,domain complement,"Dos compañeras de clase, Ivana y Ana, tuvieron un accidente en el coche y se lastimaron mucho. Ahora están en el hospital y los otros compañeros las ayudan con los estudios porque todos tienen un examen muy importante al final del año. Juan te comenta que Ana está recibiendo ayuda en matemáticas pero nadie está ayudando a Ivana. Tú crees que Ivana no necesita ayuda porque ella es la más inteligente de la clase y todo el mundo lo sabe.",Juan dice:,"""Ana recibe ayuda en matemáticas todos los días pero nadie está ayudando a Ivana.""",Tú dices:,"""Sí, claro. Ella es la mejor de la clase. ¿Por qué ayudarían a Ivana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué ayudarían a Ivana.,No crees que ayudarían a Ivana.,Ya sabes por qué ayudarían a Ivana.,option2
B,por_que,17,RQ+,f_por_que_17_RQplus,unique referent,"Ivana es la mejor alumna de la clase y sobresale en matemáticas. Muchas veces sus compañeros le piden que los ayude con su tarea pero ahora Ivana está harta de ayudar a todo el mundo. Ella decide entonces ayudar a los compañeros que la puedan ayudar con su tarea de inglés a cambio. Así que cuando Juana te comenta que los dos estudiantes de intercambio australianos, John y Mike, la están ayudando a Ivana con su inglés, no te sorprende mucho porque sabes que los dos australianos tienen mucha dificultad en matemáticas.",Juana dice:,"""John y Mike están ayudando a Ivana con su inglés. No entiendo por qué.""",Tú dices:,"""Piénsalo: los dos no pasaron matemática.  ¿Por qué ayudarían a Ivana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué ayudarían a Ivana.,No crees que ayudarían a Ivana.,Ya sabes por qué ayudarían a Ivana.,option3
B,por_que,18,ISQ,m_por_que_18_ISQ,unique referent,"Estás haciendo un ejercicio de improvisación con estudiantes de actuación. En el ejercicio de hoy, dos personas se tienen que acercar a Laureana en la calle para preguntarle algo. Tú entiendes la situación a grandes rasgos pero te gustaría saber qué le van a preguntar exactamente.",El instructor dice:,"""Mario y Juliana van a acercarse a Laureana tan pronto como ella se baje del autobús.""",Tú dices:,"""Sólo hay una cosa que no entiendo. ¿Por qué le preguntarían a Laureana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué le preguntarían a Laureana.,No crees que le preguntarían algo a Laureana.,Ya sabes por qué le preguntarían a Laureana.,option1
C,por_que,18,RQ-,f_por_que_18_RQ-,domain complement,"Tú y María hablan de una roca que un grupo de geólogos acaban de descubrir. Los geólogos no logran identificar la roca y María quiere saber si le preguntaron a Laureana, una amiga que ustedes dos tienen en común. Tú sabes que Laureana es bióloga, así que no sabe mucho de geología.",María dice:,"""Creo que deberían preguntárselo a Laureana……¿o le preguntaron ya?""",Tú dices:,"""Es bióloga. ¿Por qué le preguntarían a Laureana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué le preguntarían a Laureana.,No crees que le preguntarían algo a Laureana.,Ya sabes por qué preguntarían a Laureana.,option2
A,por_que,18,RQ+,m_por_que_18_RQplus,unique referent,"Tú y tu amigo Juan hablan de una roca que un grupo de geólogos acaban de descubrir. Los geólogos no logran identificar la roca, así que decidieron preguntarle a Laureana, una amiga en común que es geóloga. Juan y tú saben que hace tiempo se encontró una roca difícil de identificar y Laureana se volvió famosa al descubrir que era una roca lunar. Juan se sorprende de que los geólogos le hayan preguntado a Laureana esta vez, pero tú sugieres que fue porque esperaban haber encontrado otro pedazo de roca lunar.",Juan dice:,"""El grupo de científicos le preguntó a Laureana su opinión sobre la roca, pero no entiendo por qué.""",Tú dices:,"""Ella se volvió bastante famosa por lo de la roca lunar. ¿Por qué le preguntarían a Laureana?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué le preguntarían a Laureana.,No crees que le preguntarían algo a Laureana.,Ya sabes por qué preguntarían a Laureana.,option3
A,por_que,19,ISQ,m_por_que_19_ISQ,unique referent,"Estás haciendo un ejercicio de improvisación con estudiantes de actuación. En cada ejercicio, hay un guion base que todos necesitan saber para participar. Tú entiendes la situación, pero olvidas por qué en el guion la gente le tiene que mentir a Leonora.",El instructor dice:,"""Pedro y María van a mentir y dirán que se han vuelto ciegos y no pueden ver nada.""",Tú dices:,"""Sé que deben mentir, pero no sé la razón. ¿Por qué mentirían a Leonora?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué mentirían a Leonora.,No crees que le mentirían a Leonora.,Ya sabes por qué le mentirían a Leonora.,option1
B,por_que,19,RQ-,m_por_que_19_RQ-,domain complement,Leonora es una profesora de matemáticas muy amable. Algunos de sus estudiantes perdieron sus tareas y no pudieron enviarlo. Leonora les cree y les dio una calificación. Jorge tiene sus dudas sobre si los estudiantes dicen la verdad y Leonora tomó la decisión correcta. Tú le sugieres que no hay razón por la cual los estudiantes le mientan a Leonora.,Jorge dice:,"""¿Qué tal si los estudiantes engañaron a Leonora?""",Tú dices:,"""Pronto tendrán una prueba y ahí se verá si hicieron la tarea o no. ¿Por qué mentirían a Leonora?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué mentirían a Leonora.,No crees que le mentirían a Leonora.,Ya sabes por qué le mentirían a Leonora.,option2
C,por_que,19,RQ+,f_por_que_19_RQplus,unique referent,"Los nuevos contadores de tu compañía acaban de descubrir que los anteriores contadores, Miguel y Daniela, no llevaron la contabilidad de una manera honesta. La auditora de contabilidad, Leonora, vendrá pronto a la compañia y se dará cuenta inmediatamente de las inconsistencias. Ella también tiene una reputación de no tener misericordia por nadie y no dejar pasar estos errores. De hecho, ha provocado que varias personas vayan a la cárcel por esto. Por esta razón, los nuevos contadores de la compañía están considerando falsificar recibos con el fin de que los números sean consistentes y Leonora no descubra el engaño. Tu colega Ivana opina que saldrán mal los planes y no hay razón por la cuál se debería de mentir.",Ivana dice:,"""¿Escuchaste? Los nuevos contadores pretenden mentir a Leonora y falsificar recibos. No entiendo por qué hacen eso.""",Tú dices:,"""Miguel y Daniela ya no trabajan aquí. Por lo que la responsabilidad recae en los contadores actuales. Todos los que han engañado en la contabilidad han ido a la cárcel. ¿Por qué mentirían a Leonora?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber por qué mentirían a Leonora.,No crees que le mentirían a Leonora.,Ya sabes por qué le mentirían a Leonora.,option3
C,dónde,20,ISQ,f_donde_20_ISQ,mention-some,"Estás en una clase de la universidad. Tu profesora les entrega a todos los alumnos una hoja con una lista de cinco lenguas habladas en el continente asiático que se empezarán a enseñar en el centro de lenguas: farsi, birmano, hindi, tamil y malayo. Una compañera te hace notar que todas las lenguas de la hoja menos el malayo especifican el país donde se hablan y tú decides preguntarle a la profesora.",Tu compañera dice:,"""Ah mira, no hay ningún país escrito al lado de ""malayo"".",Tú dices:,"""Profesora, aquí falta un país. ¿Dónde se habla malayo?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde se habla malayo.,No crees que se hable malayo en ningún lado.,Ya sabes dónde se habla malayo.,option1
A,dónde,20,RQ-,f_donde_20_RQ-,domain complement,"Eres lingüista y es bien sabido entre lingüistas que el malayo es una lengua muerta. Cuando tu colega Irene te sugiere que hagas un estudio sobre el malayo, le dices que no es una buena idea porque ya no se habla esta lengua.",Irene dice:,"""¿Qué te parece si hacemos un estudio sobre el malayo?""",Tú dices:,"""Irene, ¡estamos en el 2019! ¿Dónde se habla malayo?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde se habla malayo.,No crees que se hable malayo en ningún lado.,Ya sabes dónde se habla malayo.,option2
B,dónde,20,RQ+,m_donde_20_RQplus,unique referent,Estás con tu amigo Rubén en la escuela. Le estás contando que empezaste a tomar clases de malayo porque vas a hacer un viaje a Asia varios meses. Él te pregunta a dónde irás y tú le sugieres que la respuesta es obvia.,Rubén dice:,"""Oye, ¡suena bien! ¿A qué país irás?""",Tú dices:,"""Pues no es muy difícil adivinar eso. ¿Dónde se habla malayo?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde se habla malayo.,No crees que se hable malayo en ningún lado.,Ya sabes dónde se habla malayo.,option3
B,dónde,21,ISQ,f_donde_21_ISQ,mention-some,"Quieres comprar varios productos como granola y nueces, pero no quieres gastar en productos de marca y no sabes dónde puedes conseguirlos a granel, así que le preguntas a tu madre.",Tu madre dice:,"""¿Qué se te ofrece, hijo?""",Tú dices:,"""Mamá, quiero comprar granola y nueces. ¿Dónde se compra a granel?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde se compra a granel.,No crees que se pueda comprar a granel en ningún lado.,Ya sabes dónde se compra a granel.,option1
C,dónde,21,RQ-,m_donde_21_RQ-,domain complement,Vives en una ciudad donde los mercados han sido sustituidos por supermercados que venden sólo productos empaquetados. A tu amigo Juan se le ocurre la idea de comprar unas nueces a granel y te pregunta en dónde podrías conseguirlas. Tú le sugieres que en ningún lado.,Juan dice:,"""Quiero comprar nueces a granel.""",Tú dices:,"""¿Aquí? En esta ciudad ya no hay mercados. ¿Dónde se compra a granel?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde se compra a granel.,No crees que se pueda comprar a granel en ningún lado.,Ya sabes dónde se compra a granel.,option2
A,dónde,21,RQ+,f_donde_21_RQplus,unique referent,"En tu pueblo natal hay dos lugares donde puedes conseguir cualquier tipo de alimento: el supermercado, que vende productos empaquetados, y el mercado, que vende productos a granel. Tu hermana menor quiere comprar dulces tradicionales para su fiesta de cumpleaños y te pregunta dónde podría conseguirlos en grandes cantidades. Tú le contestas sugiriendo que la respuesta es obvia.",Tu hermana dice:,"""Oye quiero comprar dulces a granel para mi fiesta. ¿Sabes a dónde podría ir?""",Tú dices:,"""Es obvio, ¿no? ¿Dónde se compra a granel?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde se compra a granel.,No crees que se pueda comprar a granel en ningún lado.,Ya sabes dónde se compra a granel.,option3
A,dónde,22,ISQ,m_donde_22_ISQ,mention-some,"Tu amigo Juan y tú están en una clase de biología revisando unas notas sobre flora que pueden encontrar en tu país. A Juan le llama la atención una nota sobre los lirios y tú quisieras saber si en tu ciudad se pueden encontrar en estado natural y, de ser así, en qué parte podrías encontrarlos. Así que decides preguntarle a la profesora.",Juan dice:,"""Mira, este texto sobre lirios es interesante. Me pregunto si será posible encontrarlos en la ciudad.""",Tú dices:,"""Profesora, aquí dice que los lirios crecen en nuestro país. ¿Dónde tienen lirios?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde tienen lirios.,No crees que tengan lirios en ninguna parte.,Ya sabes dónde tienen lirios.,option1
B,dónde,22,RQ-,f_donde_22_RQ-,domain complement,Juana y tú viven en una ciudad muy industrializada donde no es fácil encontrar mercados que vendan plantas. Un día Juana lee en un libro acerca de los lirios y te dice que quisiera comprar unos. Le respondes sugiriendo que no podrían tener en ningún lado.,Juana dice:,"""Quisiera comprar unos lirios.""",Tú dices:,"""Pero aquí no hay mercados. ¿Dónde tienen lirios?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde tienen lirios.,No crees que tengan lirios en ninguna parte.,Ya sabes dónde tienen lirios.,option2
C,dónde,22,RQ+,f_donde_22_RQplus,unique referent,"La familia de tu amigo Jorge acaba de abrir un puesto de flores en el mercado del centro de tu ciudad y todos saben acerca de él. Un día tu mamá te pregunta dónde se podria comprar lirios, y tú le sugieres que ya debería saber la respuesta porque Jorge les acaba de dar la noticia.",Tu mamá dice:,"""Oye, María me preguntaba si sabes en qué lugar podría conseguir lirios.""",Tú dices:,"""Pues, piensa en lo que Jorge nos dijo la última vez. ¿Dónde tienen lirios?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde tienen lirios.,No crees que tengan lirios en ninguna parte.,Ya sabes dónde tienen lirios.,option3
C,dónde,23,ISQ,m_donde_23_ISQ,mention-some,"Estás en una clase de historia de la cocina. El tema de la clase de hoy es el uso de insectos en la cocina. La maestra menciona que tres de los insectos más comunes en la cultura culinaria son los escarabajos, las hormigas y los grillos. Juan te dice que ha ido a lugares donde se comen escarabajos y hormigas, pero no sabe en qué lugar se consiguen grillos. Por eso le preguntas a la profesora.",Juan dice:,"""Yo he comido escarabajos y hormigas, pero no sé en qué lugar se coman grillos. ¿Por qué no le preguntas a la profesora?""",Tú dices:,"""Profesora, tenemos una pregunta. ¿Dónde se comen grillos?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde se comen grillos.,No crees que se coman grillos en ninguna parte.,Ya sabes dónde comen grillos.,option1
A,dónde,23,RQ-,m_donde_23_RQ-,domain complement,"Desde pequeño le tienes un poco de asco a los insectos. Cuando hablas con Juan sobre insectos, le mencionas lugares donde se comen escarabajos y hormigas. De acuerdo con Juan, la gente come grillos también, pero no está seguro dónde. Tú te muestras incrédulo.",Juan dice:,"""Te digo que es cierto. La gente come grillos.""",Tú dices:,"""¡Qué asco! No puedo creerlo. ¿Dónde se comen grillos?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde se comen grillos.,No crees que se coman grillos en ninguna parte.,Ya sabes dónde comen grillos.,option2
B,dónde,23,RQ+,m_donde_23_RQplus,unique referent,"Tienes un amigo del sur de México, Julio, que siempre te platica que el pueblo de donde viene es famoso por el uso de insectos en la cocina. Él y tú viven en la Ciudad de México. Un día, caminando por el mercado de la ciudad, ves un puesto que vende sal de grillo del sur. Cuando se la muestras a Julio, él te pregunta de dónde es y tú sugieres que es del sur.",Julio dice:,"""¿De dónde será esta sal?""",Tú dices:,"""Me preguntas como si no supieras. ¿Dónde se comen grillos?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde se comen grillos.,No crees que se coman grillos en ninguna parte.,Ya sabes dónde comen grillos.,option3
B,dónde,24,ISQ,f_donde_24_ISQ,mention-some,"Tu amigo y tú van a un pueblo que es famoso por sus empanadas. A la hora del lunch, ambos están hambrientos y deciden preguntar a alguien dónde conseguir una. Se acercan a una señora.",La señora dice:,"""¿Qué se les ofrece, chicos?""",Tú dices:,"""Oiga, ¿nos puede ayudar? No conocemos este vecindario. ¿Dónde venden empanadas?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde venden empanadas.,Crees que no vendan empanadas en ningún lado.,Ya sabes dónde venden empanadas.,option1
C,dónde,24,RQ-,f_donde_24_RQ-,domain complement,"Vives en Canadá en una ciudad donde no es muy común encontrar comida latinoamericana. Un día a tu mamá se le antoja comer una empanada y decide salir a buscar una tienda donde las vendan. Te avisa, y tú, sabiendo que es difícil encontrar empanadas en la ciudad, le sugieres que no venderían en ningún lado.",Tu mamá dice:,"""Voy a ir a buscar empanadas.""",Tú dices:,"""¿Aquí en esta ciudad? ¿Dónde venden empanadas?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde venden empanadas.,Crees que no vendan empanadas en ningún lado.,Ya sabes dónde venden empanadas.,option2
A,dónde,24,RQ+,f_donde_24_RQplus,unique referent,"Vas caminando con tu amiga Luisa en una plaza comercial. Después de un rato de caminar, te da hambre y le pides a Luisa que te acompañe a la sección de comida de la plaza. Al llegar te paras frente a dos locales: una panadería y una dulcería. Luisa te pregunta dónde crees que podrían vender empanadas. Le respondes sugiriendo que es obvio dónde.",Luisa dice:,"""¿A cuál entramos?""",Tú dices:,"""¿En serio? ¿Entre la panadería y la dulcería? ¿Dónde venden empanadas?""",¿Qué es lo que realmente implicas o quieres decir?,Quieres saber dónde venden empanadas.,Crees que no vendan empanadas en ningún lado.,Ya sabes dónde venden empanadas.,option3